precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BeaverheadPRECINCT 01,27,44,10,18,30,8,78,1,175,15,48,203,144,71,442
BeaverheadPRECINCT 02,22,50,9,38,23,13,252,4,127,16,35,551,335,72,733
BeaverheadPRECINCT 03,36,33,11,35,35,18,269,0,158,5,32,507,368,69,702
BeaverheadPRECINCT 04,10,7,5,13,7,5,76,0,34,1,6,131,106,17,172
BeaverheadPRECINCT 05,1,1,2,7,5,2,56,0,9,1,4,99,72,2,113
BeaverheadPRECINCT 06,27,34,7,17,24,11,157,2,129,10,35,324,216,61,500
BeaverheadPRECINCT 07,11,13,3,16,18,7,120,2,40,4,12,231,164,24,289
BeaverheadPRECINCT 08,2,4,2,3,6,3,37,1,14,0,2,56,51,6,73
BeaverheadPRECINCT 09,15,29,14,12,10,7,143,1,87,4,19,300,186,44,411
BeaverheadPRECINCT 12,38,36,16,11,30,9,148,2,157,2,21,270,214,74,452
BeaverheadPRECINCT 14,27,41,3,12,13,6,94,2,125,7,27,225,128,68,386
BeaverheadPRECINCT 17,8,10,3,2,2,0,44,2,18,1,3,82,51,18,106
BeaverheadPRECINCT 19,2,7,0,4,4,2,67,1,14,1,6,92,77,9,114
BeaverheadPRECINCT 20,1,0,0,3,2,3,51,0,2,1,0,74,59,1,77
BeaverheadPRECINCT 21,11,6,4,7,3,3,55,0,25,2,10,117,72,17,154
BeaverheadPRECINCT 23,6,8,2,5,1,1,52,0,29,0,5,91,61,14,125
Big HornPRECINCT #1,8,11,2,5,1,2,46,0,56,0,4,93,56,19,153
Big HornPRECINCT #10,3,2,0,1,2,3,22,0,12,1,1,49,28,5,63
Big HornPRECINCT #14,18,16,0,0,0,1,12,1,70,2,7,51,13,34,131
Big HornPRECINCT #15,30,50,0,4,0,0,24,3,129,7,21,107,28,80,267
Big HornPRECINCT #17,32,34,1,5,3,3,83,1,116,3,15,200,95,66,335
Big HornPRECINCT #18,20,28,0,12,3,2,79,1,81,5,26,194,96,48,307
Big HornPRECINCT #19,34,55,5,16,1,5,122,2,172,7,35,269,149,89,485
Big HornPRECINCT #2,8,10,1,2,1,1,22,0,46,0,7,56,27,18,109
Big HornPRECINCT #21,54,35,1,1,4,0,24,2,228,6,4,93,30,89,333
Big HornPRECINCT #25,9,8,0,1,0,2,17,1,64,1,1,57,20,17,124
Big HornPRECINCT #26,23,37,0,6,1,2,15,3,224,7,11,73,24,60,318
Big HornPRECINCT #3,7,10,0,2,1,0,45,0,20,0,3,114,48,17,137
Big HornPRECINCT #4,5,5,0,5,1,0,30,0,13,2,2,60,36,10,77
Big HornPRECINCT #4N,5,10,2,3,0,1,58,0,16,0,4,124,64,15,144
Big HornPRECINCT #5,26,21,1,8,1,2,14,0,136,2,4,48,26,47,190
Big HornPRECINCT #6,4,6,0,1,0,0,22,0,14,0,2,50,23,10,66
Big HornPRECINCT #7,101,108,1,4,2,1,18,6,554,25,30,89,26,209,704
Big HornPRECINCT #8,10,15,0,2,1,2,45,0,46,2,5,98,50,25,151
Big HornPRECINCT #9,17,25,0,0,0,1,6,1,97,1,3,28,7,42,130
BlaineBELKNAP 3-32,49,73,1,0,0,0,13,2,300,17,11,35,14,122,365
BlaineCHINOOK 11-33,66,103,5,21,8,10,138,2,172,11,37,381,182,169,603
BlaineHARLEM 8-32,52,52,0,7,1,6,45,2,152,11,9,113,59,104,287
BlaineHARLEM 9-32,18,24,0,0,0,0,2,5,126,14,3,12,2,42,160
BlaineHAYS 15-32,51,91,2,1,0,0,8,10,350,19,11,43,11,142,433
BlaineNO CHINOOK 13-33,7,9,0,4,3,0,38,0,16,0,3,97,45,16,116
BlaineSO CHINOOK 10-32,29,39,6,15,6,2,135,3,54,1,19,370,164,68,447
BlaineTURNER 1-33,8,15,2,4,7,2,109,2,32,0,9,217,124,23,260
BroadwaterPRECINCT 1,42,74,5,21,19,5,203,2,150,5,24,484,253,116,665
BroadwaterPRECINCT 11,41,49,4,29,11,9,255,0,100,6,30,513,308,90,649
BroadwaterPRECINCT 12,46,53,15,27,12,20,200,1,132,11,42,485,274,99,671
BroadwaterPRECINCT 13,18,36,7,40,3,6,200,1,86,10,39,532,256,54,668
BroadwaterPRECINCT 7,43,45,10,26,9,7,147,1,105,5,34,334,199,88,479
CarbonP 1,41,43,2,16,8,8,152,1,100,3,19,402,186,84,525
CarbonP 10,60,82,1,11,10,3,45,3,221,11,28,161,70,142,424
CarbonP 11,139,116,4,6,12,3,210,1,400,1,42,454,235,255,898
CarbonP 15,48,37,4,23,6,4,165,0,102,11,27,424,202,85,564
CarbonP 16,30,24,2,9,10,5,98,0,86,4,10,202,124,54,302
CarbonP 2,30,24,1,12,5,2,68,1,73,5,14,178,88,54,271
CarbonP 3,25,30,2,22,10,14,174,1,104,6,20,461,222,55,592
CarbonP 4,22,28,2,10,3,4,86,3,65,1,21,227,105,50,317
CarbonP 5,22,35,2,20,5,3,112,1,50,2,17,280,142,57,350
CarbonP 6,29,35,1,10,6,3,99,1,72,7,22,217,119,64,319
CarbonP 7,31,36,4,24,12,6,166,1,111,4,29,379,212,67,524
CarbonP 8,78,96,2,4,10,9,93,0,245,11,31,223,118,174,510
CarbonP 9,61,103,1,6,3,2,47,1,199,4,27,140,59,164,371
CarterPRECINCT #1 ALZADA,2,0,1,17,3,0,55,0,6,2,2,101,76,2,111
